PoNumber,Item No,Quantity,Vendor Challan No,Challan Date,Assesable Value,BED Value,SED Value,AED Value,ECS value,S&H E cess Value,S&H E cess Rate %,ECS Rate %,BED %,AED %,SED %,Sales Tax,Invoice amount,VAT amount,Currency,Form 31-Series No,Form 31 No,Invoice Number,Invoice Date,Vehicle Number,Packages,PackUnit,
2540131763,10,3730,P00081,05.04.2017,78255.4,9782,0,0,0,0,0,0,12.5,0,0,0,99922.45,11885.05,INR,,,,,,,,
2540131764,10,2663,P00082,05.04.2017,66441.85,8305,0,0,0,0,0,0,12.5,0,0,0,84837.67,10090.82,INR,,,,,,,,
2540131765,10,3119,P00083,05.04.2017,459335.13,57417,0,0,0,0,0,0,12.5,0,0,0,586513.67,69761.54,INR,,,,,,,,
2540131766,10,204,P00084,05.04.2017,4304.4,538,0,0,0,0,0,0,12.5,0,0,0,5496.12,653.72,INR,,,,,,,,
2540131801,10,424,P00085,05.04.2017,8946.4,1118,0,0,0,0,0,0,12.5,0,0,0,11423.09,1358.69,INR,,,,,,,,
2540132379,10,268,P00086,05.04.2017,44305.76,5538,0,0,0,0,0,0,12.5,0,0,0,56572.67,6728.91,INR,,,,,,,,
2540132379,10,388,P00087,05.04.2017,64144.16,8018,0,0,0,0,0,0,12.5,0,0,0,81904.05,9741.89,INR,,,,,,,,
2510172327,10,144,P00088,05.04.2017,2623.68,328,0,0,0,0,0,0,12.5,0,0,0,3350.16,398.48,INR,,,,,,,,
2540131767,10,578,P00089,05.04.2017,11594.68,1449,0,0,0,0,0,0,12.5,0,0,0,14804.58,1760.9,INR,,,,,,,,
2540131768,10,1510,P00090,05.04.2017,25277.4,3160,0,0,0,0,0,0,12.5,0,0,0,32276.45,3839.05,INR,,,,,,,,
2510172330,10,546,P00091,05.04.2017,55397.16,6925,0,0,0,0,0,0,12.5,0,0,0,70735.65,8413.49,INR,,,,,,,,
2540127048,10,183,P00092,05.04.2017,3125.64,391,0,0,0,0,0,0,12.5,0,0,0,3991.39,474.75,INR,,,,,,,,
2540131769,10,2118,P00093,05.04.2017,38886.48,4861,0,0,0,0,0,0,12.5,0,0,0,49653.39,5905.91,INR,,,,,,,,
2540131769,10,2671,P00094,05.04.2017,49039.56,6130,0,0,0,0,0,0,12.5,0,0,0,62617.45,7447.89,INR,,,,,,,,
